province,weather,temp_c,humidity_%,wind_km/h,pressure_mbar,AQI,PM2_5,PM10,O3,NO2,SO2,CO,PM25_was_unknown,date,comunidades
Tarragona,Few clouds,12,49,50.0,1013,27.0,5.0,14.0,67.0,5.5,2.0,Unknown,No,2022-11-22 12:00:00,Cataluña
Teruel,Clear sky,7,57,22.2,1015,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-22 12:00:00,Aragón
Toledo,Broken clouds,10,60,32.8,1019,17.0,4.0,11.0,Unknown,Unknown,2.0,Unknown,No,2022-11-22 12:00:00,Castilla-La Mancha
Valencia/València,Few clouds,15,40,25.7,1014,31.0,7.5,11.5,48.0,10.0,4.0,0.2,No,2022-11-22 12:00:00,Comunidad Valenciana
Valladolid,Broken clouds,6,91,27.8,1016,18.0,4.1,Unknown,43.0,21.0,Unknown,Unknown,No,2022-11-22 12:00:00,Castilla y León
Zamora,Broken clouds,6,84,35.5,1016,17.0,4.0,7.0,Unknown,7.0,1.0,Unknown,No,2022-11-22 12:00:00,Castilla y León
Zaragoza,Few clouds,11,56,14.8,1014,27.0,6.5,10.6,24.8,30.4,5.3,180.0,No,2022-11-22 12:00:00,Aragón
Ceuta,Broken clouds,16,70,28.4,1023,29.0,4.2,12.7,71.2,Unknown,5.2,0.2,No,2022-11-22 12:00:00,Ceuta
Albacete,Broken clouds,16,72,46.3,1016,25.0,6.0,27.0,51.0,5.0,2.0,0.0,No,2022-11-23 12:00:00,Castilla-La Mancha
Alicante/Alacant,Few clouds,19,63,3.7,1014,19.0,1.0,1.0,47.5,9.5,4.0,0.1,No,2022-11-23 12:00:00,Alicante/Alacant
Almería,Clear sky,19,71,7.4,1016,14.0,3.3,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Andalucía
Asturias,Broken clouds,15,58,20.9,1009,25.0,1.0,Unknown,60.5,15.0,13.5,0.5,No,2022-11-23 12:00:00,Asturias
Ávila,Broken clouds,12,92,1.6,1014,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Castilla y León
Badajoz,Broken clouds,17,85,29.6,1019,17.0,4.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Extremadura
"Balears, Illes",Few clouds,20,73,35.2,1011,21.0,5.0,7.1,50.0,1.7,0.1,Unknown,No,2022-11-23 12:00:00,"Balears, Illes"
Barcelona,Few clouds,18,66,27.8,1006,9.0,2.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Cataluña
Burgos,Clear sky,13,62,42.6,1012,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Castilla y León
Cáceres,Broken clouds,14,93,21.6,1017,17.0,4.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Extremadura
Cádiz,Broken clouds,19,88,24.1,1022,8.0,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Andalucía
Cantabria,Few clouds,16,72,31.5,1012,24.0,5.8,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Cantabria
Castellón/Castelló,Broken clouds,23,55,28.9,1011,14.0,1.0,2.0,35.0,11.0,Unknown,Unknown,No,2022-11-23 12:00:00,Comunidad Valenciana
Ciudad Real,Broken clouds,14,90,24.1,1018,12.0,3.0,4.0,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Castilla-La Mancha
Córdoba,Broken clouds,16,82,13.0,1021,13.0,3.2,9.7,22.0,19.0,2.0,0.2,No,2022-11-23 12:00:00,Andalucía
"Coruña, A",Few clouds,14,77,16.1,1013,51.0,12.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Galicia
Cuenca,Broken clouds,11,97,30.1,1014,50.0,12.0,20.0,Unknown,Unknown,4.0,Unknown,No,2022-11-23 12:00:00,Castilla-La Mancha
Girona,Clear sky,14,62,7.4,1007,41.0,10.0,16.0,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Cataluña
Granada,Scattered clouds,16,69,14.8,1019,15.0,3.6,11.9,Unknown,46.0,10.0,0.3,No,2022-11-23 12:00:00,Andalucía
Guadalajara,Broken clouds,13,98,24.7,1014,25.0,6.0,11.0,Unknown,Unknown,4.0,Unknown,No,2022-11-23 12:00:00,Castilla-La Mancha
Huelva,Scattered clouds,18,75,11.3,1027,11.0,2.6,7.2,14.5,11.0,2.0,0.4,No,2022-11-23 12:00:00,Andalucía
Huesca,Broken clouds,13,83,20.4,1009,4.0,4.1,Unknown,Unknown,25.0,1.0,Unknown,No,2022-11-23 12:00:00,Aragón
Jaén,Broken clouds,16,73,12.9,1024,24.0,4.2,14.3,59.0,8.0,3.5,0.2,No,2022-11-23 12:00:00,Andalucía
León,Scattered clouds,12,50,38.9,1010,4.0,1.0,Unknown,Unknown,4.0,1.5,Unknown,No,2022-11-23 12:00:00,Castilla y León
Lleida,Few clouds,12,83,11.1,1006,35.0,8.5,13.0,22.0,1.0,1.0,Unknown,No,2022-11-23 12:00:00,Cataluña
Lugo,Broken clouds,12,91,10.2,1013,68.0,20.0,27.0,Unknown,Unknown,1.5,Unknown,No,2022-11-23 12:00:00,Galicia
Madrid,Shower rain,14,90,40.8,1015,21.0,5.0,10.0,43.0,13.0,2.0,Unknown,No,2022-11-23 12:00:00,Madrid
Málaga,Scattered clouds,22,57,18.5,1019,9.0,2.2,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Andalucía
Murcia,Few clouds,21,51,20.4,1014,63.0,18.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Murcia
Navarra,Broken clouds,12,82,18.5,1012,39.0,9.5,15.5,4.0,52.5,1.0,Unknown,No,2022-11-23 12:00:00,Navarra
Ourense,Broken clouds,14,84,9.8,1017,21.0,5.0,18.0,Unknown,Unknown,4.5,Unknown,No,2022-11-23 12:00:00,Galicia
Palencia,Broken clouds,14,76,14.5,1014,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Castilla y León
"Palmas, Las",Broken clouds,23,76,18.3,1023,29.0,7.0,26.0,38.0,27.0,7.0,0.0,No,2022-11-23 12:00:00,Canarias
"Rioja, La",Broken clouds,10,93,7.4,1011,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,"Rioja, La"
Salamanca,Broken clouds,11,98,24.1,1017,4.0,1.0,Unknown,Unknown,8.0,1.0,Unknown,No,2022-11-23 12:00:00,Castilla y León
Santa Cruz de Tenerife,Broken clouds,22,80,14.5,1025,4.0,0.9,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Canarias
Segovia,Broken clouds,12,93,26.6,1015,9.0,2.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Castilla y León
Sevilla,Broken clouds,18,87,13.0,1020,37.0,9.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Andalucía
Soria,Broken clouds,11,98,12.9,1012,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Castilla y León
Tarragona,Few clouds,21,59,16.7,1010,33.0,8.0,13.5,17.5,21.0,2.5,Unknown,No,2022-11-23 12:00:00,Cataluña
Teruel,Clear sky,15,67,40.8,1012,9.0,2.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 12:00:00,Aragón
Toledo,Broken clouds,15,74,40.5,1016,17.0,4.0,3.0,Unknown,Unknown,3.0,Unknown,No,2022-11-23 12:00:00,Castilla-La Mancha
Valencia/València,Few clouds,21,60,38.9,1010,14.0,3.0,10.0,35.0,5.0,3.0,0.1,No,2022-11-23 12:00:00,Comunidad Valenciana
Valladolid,Scattered clouds,14,79,33.3,1013,24.0,5.0,2.0,59.0,12.5,Unknown,Unknown,No,2022-11-23 12:00:00,Castilla y León
Zamora,Broken clouds,12,84,23.7,1014,12.0,3.0,3.0,Unknown,6.0,1.0,Unknown,No,2022-11-23 12:00:00,Castilla y León
Zaragoza,Scattered clouds,12,75,16.7,1010,41.0,10.0,16.2,9.0,22.3,5.3,210.0,No,2022-11-23 12:00:00,Aragón
Ceuta,Scattered clouds,17,74,26.2,1021,27.0,6.5,10.0,48.6,23.8,7.9,0.2,No,2022-11-23 12:00:00,Ceuta
Albacete,Broken clouds,16,72,33.3,1017,37.0,9.0,26.0,63.0,3.0,2.0,0.0,No,2022-11-23 17:00:00,Castilla-La Mancha
Alicante/Alacant,Broken clouds,23,51,25.9,1014,20.0,1.0,8.0,49.0,1.5,3.0,0.1,No,2022-11-23 17:00:00,Alicante/Alacant
Almería,Clear sky,20,67,7.4,1015,12.0,3.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Andalucía
Asturias,Few clouds,15,55,20.9,1010,33.0,8.0,6.0,73.0,6.5,3.0,0.6,No,2022-11-23 17:00:00,Asturias
Ávila,Broken clouds,10,75,21.3,1016,1.0,4.1,Unknown,Unknown,1.0,1.0,Unknown,No,2022-11-23 17:00:00,Castilla y León
Badajoz,Broken clouds,17,90,18.5,1018,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Extremadura
"Balears, Illes",Clear sky,22,61,32.2,1012,25.0,6.0,9.1,49.0,1.5,0.2,Unknown,No,2022-11-23 17:00:00,"Balears, Illes"
Barcelona,Few clouds,18,66,11.1,1009,10.0,2.4,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Cataluña
Burgos,Few clouds,13,58,22.2,1014,1.0,4.1,Unknown,Unknown,5.0,1.0,Unknown,No,2022-11-23 17:00:00,Castilla y León
Cáceres,Broken clouds,15,80,17.4,1017,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Extremadura
Cádiz,Clear sky,20,73,20.4,1020,22.0,4.0,7.1,54.0,11.0,3.0,0.6,No,2022-11-23 17:00:00,Andalucía
Cantabria,Scattered clouds,16,64,11.3,1014,21.0,5.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Cantabria
Castellón/Castelló,Broken clouds,21,65,23.4,1012,16.0,1.0,1.0,39.0,5.0,3.0,0.1,No,2022-11-23 17:00:00,Comunidad Valenciana
Ciudad Real,Shower rain,14,94,20.4,1018,25.0,6.0,26.0,Unknown,5.0,2.0,Unknown,No,2022-11-23 17:00:00,Castilla-La Mancha
Córdoba,Scattered clouds,18,68,14.8,1019,26.0,6.4,17.3,58.0,7.5,2.5,0.2,No,2022-11-23 17:00:00,Andalucía
"Coruña, A",Few clouds,15,65,16.1,1013,1.0,4.1,Unknown,Unknown,Unknown,1.0,Unknown,No,2022-11-23 17:00:00,Galicia
Cuenca,Broken clouds,11,90,24.7,1016,10.0,4.1,11.0,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Castilla-La Mancha
Girona,Clear sky,16,65,5.5,1010,37.0,9.0,16.0,Unknown,Unknown,1.0,Unknown,No,2022-11-23 17:00:00,Cataluña
Granada,Few clouds,17,66,16.7,1017,25.0,6.0,10.8,61.0,7.0,10.0,0.2,No,2022-11-23 17:00:00,Andalucía
Guadalajara,Broken clouds,16,90,15.9,1016,29.0,7.0,12.0,Unknown,Unknown,2.0,Unknown,No,2022-11-23 17:00:00,Castilla-La Mancha
Huelva,Clear sky,18,72,17.7,1025,37.0,8.9,18.9,69.0,5.0,2.5,0.4,No,2022-11-23 17:00:00,Andalucía
Huesca,Clear sky,14,58,25.9,1011,2.0,4.1,Unknown,Unknown,11.0,2.0,Unknown,No,2022-11-23 17:00:00,Aragón
Jaén,Broken clouds,17,63,4.8,1023,29.0,3.2,8.6,71.0,6.0,3.5,0.2,No,2022-11-23 17:00:00,Andalucía
León,Few clouds,11,54,24.1,1014,17.0,4.0,Unknown,Unknown,5.5,1.5,Unknown,No,2022-11-23 17:00:00,Castilla y León
Lleida,Clear sky,17,60,38.9,1008,37.0,9.0,14.0,65.0,1.0,1.5,Unknown,No,2022-11-23 17:00:00,Cataluña
Lugo,Broken clouds,12,79,9.1,1014,61.0,17.0,Unknown,Unknown,6.5,1.0,Unknown,No,2022-11-23 17:00:00,Galicia
Madrid,Few clouds,16,76,20.4,1016,22.0,5.0,11.0,53.0,15.0,5.5,Unknown,No,2022-11-23 17:00:00,Madrid
Málaga,Few clouds,22,53,18.5,1017,5.0,1.2,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Andalucía
Murcia,Few clouds,24,47,25.9,1015,25.0,6.0,17.0,39.0,22.0,3.0,Unknown,No,2022-11-23 17:00:00,Murcia
Navarra,Scattered clouds,13,62,9.3,1014,41.0,10.0,19.0,34.0,26.0,1.0,Unknown,No,2022-11-23 17:00:00,Navarra
Ourense,Broken clouds,14,82,5.7,1017,50.0,12.0,Unknown,Unknown,Unknown,3.8,Unknown,No,2022-11-23 17:00:00,Galicia
Palencia,Broken clouds,13,64,20.9,1015,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Castilla y León
"Palmas, Las",Broken clouds,23,74,16.9,1020,26.0,3.0,29.0,45.0,29.0,7.0,0.0,No,2022-11-23 17:00:00,Canarias
"Rioja, La",Scattered clouds,14,63,1.8,1013,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,"Rioja, La"
Salamanca,Few clouds,12,60,14.8,1019,4.0,1.0,Unknown,Unknown,10.0,4.0,Unknown,No,2022-11-23 17:00:00,Castilla y León
Santa Cruz de Tenerife,Scattered clouds,22,78,8.1,1022,19.0,2.0,11.5,47.0,23.0,4.0,Unknown,No,2022-11-23 17:00:00,Canarias
Segovia,Broken clouds,13,81,19.8,1016,25.0,6.0,11.0,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Castilla y León
Sevilla,Broken clouds,21,66,13.0,1018,33.0,8.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Andalucía
Soria,Broken clouds,12,72,8.1,1013,1.0,4.1,Unknown,Unknown,Unknown,2.0,Unknown,No,2022-11-23 17:00:00,Castilla y León
Tarragona,Few clouds,20,54,18.5,1013,29.0,7.0,13.0,71.0,6.0,2.0,Unknown,No,2022-11-23 17:00:00,Cataluña
Teruel,Clear sky,15,58,27.8,1015,9.0,2.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-23 17:00:00,Aragón
Toledo,Broken clouds,16,75,29.1,1016,8.0,2.0,3.0,Unknown,Unknown,3.0,Unknown,No,2022-11-23 17:00:00,Castilla-La Mancha
Valencia/València,Few clouds,22,57,38.9,1011,18.0,3.5,11.0,44.5,3.0,3.0,0.1,No,2022-11-23 17:00:00,Comunidad Valenciana
Valladolid,Clear sky,13,71,27.8,1014,25.0,4.0,8.0,61.0,15.0,Unknown,Unknown,No,2022-11-23 17:00:00,Castilla y León
Zamora,Broken clouds,12,66,29.4,1016,33.0,8.0,14.0,Unknown,9.0,1.0,Unknown,No,2022-11-23 17:00:00,Castilla y León
Zaragoza,Few clouds,15,68,16.7,1013,33.0,8.0,14.0,52.1,15.9,6.0,130.0,No,2022-11-23 17:00:00,Aragón
Ceuta,Scattered clouds,18,79,23.4,1020,29.0,7.0,5.8,41.5,29.9,9.1,0.1,No,2022-11-23 17:00:00,Ceuta
Albacete,Broken clouds,13,94,9.3,1022,17.0,4.0,19.0,38.0,20.0,2.0,0.0,No,2022-11-24 10:00:00,Castilla-La Mancha
Alicante/Alacant,Clear sky,19,68,9.3,1020,17.0,2.0,19.0,16.5,20.0,3.0,0.2,No,2022-11-24 10:00:00,Alicante/Alacant
Almería,Clear sky,16,59,5.5,1020,29.0,7.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Andalucía
Asturias,Rain,8,93,14.5,1010,21.0,5.0,14.0,31.0,14.0,4.2,0.6,No,2022-11-24 10:00:00,Asturias
Ávila,Broken clouds,9,84,3.2,1015,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Castilla y León
Badajoz,Broken clouds,15,95,13.0,1020,17.0,4.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Extremadura
"Balears, Illes",Few clouds,17,87,3.7,1020,29.0,7.0,11.0,48.0,3.8,0.1,Unknown,No,2022-11-24 10:00:00,"Balears, Illes"
Barcelona,Scattered clouds,14,71,14.8,1019,51.0,12.3,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Cataluña
Burgos,Shower rain,8,87,20.4,1016,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Castilla y León
Cáceres,Broken clouds,13,97,16.1,1019,17.0,4.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Extremadura
Cádiz,Mist,15,94,5.5,1021,12.0,3.0,9.4,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Andalucía
Cantabria,Rain,13,66,11.1,1014,36.0,8.7,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Cantabria
Castellón/Castelló,Scattered clouds,16,62,4.9,1019,11.0,2.0,2.0,27.0,12.0,3.5,0.1,No,2022-11-24 10:00:00,Comunidad Valenciana
Ciudad Real,Broken clouds,13,98,8.1,1020,15.0,2.0,17.0,Unknown,12.0,2.0,Unknown,No,2022-11-24 10:00:00,Castilla-La Mancha
Córdoba,Mist,15,100,0.0,1021,38.0,9.2,23.4,42.0,3.5,2.5,0.2,No,2022-11-24 10:00:00,Andalucía
"Coruña, A",Broken clouds,13,88,12.9,1010,76.0,24.0,64.0,44.0,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Galicia
Cuenca,Broken clouds,10,91,8.9,1020,59.0,16.0,23.0,2.0,Unknown,7.0,Unknown,No,2022-11-24 10:00:00,Castilla-La Mancha
Girona,Few clouds,11,91,0.0,1020,61.0,17.0,27.0,Unknown,Unknown,3.0,Unknown,No,2022-11-24 10:00:00,Cataluña
Granada,Few clouds,13,81,3.7,1019,20.0,4.8,8.6,17.0,8.0,9.0,0.2,No,2022-11-24 10:00:00,Andalucía
Guadalajara,Broken clouds,9,94,10.6,1020,21.0,5.0,10.0,Unknown,Unknown,4.0,0.0,No,2022-11-24 10:00:00,Castilla-La Mancha
Huelva,Broken clouds,17,81,4.8,1021,26.0,6.1,28.8,9.5,0.0,1.5,0.3,No,2022-11-24 10:00:00,Andalucía
Huesca,Clear sky,7,90,3.7,1019,9.0,4.1,Unknown,4.0,52.0,2.0,Unknown,No,2022-11-24 10:00:00,Aragón
Jaén,Broken clouds,16,83,2.4,1025,35.0,8.5,19.0,42.0,8.0,3.5,0.2,No,2022-11-24 10:00:00,Andalucía
León,Mist,5,100,8.1,1015,37.0,9.0,Unknown,Unknown,27.5,1.5,Unknown,No,2022-11-24 10:00:00,Castilla y León
Lleida,Clear sky,8,86,9.3,1019,43.0,10.5,13.5,Unknown,1.0,1.0,Unknown,No,2022-11-24 10:00:00,Cataluña
Lugo,Rain,10,99,4.8,1012,26.0,6.2,15.0,Unknown,6.8,1.0,Unknown,No,2022-11-24 10:00:00,Galicia
Madrid,Mist,10,93,9.3,1004,25.0,6.0,20.0,18.0,48.0,2.0,Unknown,No,2022-11-24 10:00:00,Madrid
Málaga,Clear sky,18,67,20.4,1018,29.0,7.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Andalucía
Murcia,Clear sky,17,70,7.4,1020,70.0,21.0,41.0,6.0,47.0,12.0,Unknown,No,2022-11-24 10:00:00,Murcia
Navarra,Few clouds,6,99,3.7,1015,21.0,5.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Navarra
Ourense,Rain,11,98,3.9,1014,41.0,10.0,Unknown,Unknown,Unknown,4.5,Unknown,No,2022-11-24 10:00:00,Galicia
Palencia,Broken clouds,8,85,19.3,1016,17.0,4.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Castilla y León
"Palmas, Las",Broken clouds,20,72,11.7,1020,50.0,12.0,32.0,37.0,47.0,8.0,0.0,No,2022-11-24 10:00:00,Canarias
"Rioja, La",Clear sky,5,100,0.0,1018,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,"Rioja, La"
Salamanca,Scattered clouds,9,97,25.9,1017,4.0,1.0,Unknown,Unknown,16.5,1.0,Unknown,No,2022-11-24 10:00:00,Castilla y León
Santa Cruz de Tenerife,Scattered clouds,21,81,1.8,1022,14.0,3.5,12.0,34.0,36.5,4.0,0.0,No,2022-11-24 10:00:00,Canarias
Segovia,Broken clouds,7,75,10.4,1018,25.0,6.0,11.0,Unknown,33.0,1.0,Unknown,No,2022-11-24 10:00:00,Castilla y León
Sevilla,Mist,16,93,9.3,1020,59.0,16.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Andalucía
Soria,Broken clouds,6,92,6.4,1017,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Castilla y León
Tarragona,Broken clouds,15,63,1.6,1015,31.0,7.5,17.0,4.0,57.0,1.0,Unknown,No,2022-11-24 10:00:00,Cataluña
Teruel,Clear sky,7,87,9.3,1021,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-24 10:00:00,Aragón
Toledo,Broken clouds,12,70,8.6,1021,19.0,3.0,21.0,Unknown,Unknown,3.0,Unknown,No,2022-11-24 10:00:00,Castilla-La Mancha
Valencia/València,Few clouds,17,68,7.4,1019,19.0,4.5,6.0,7.0,20.0,3.0,0.1,No,2022-11-24 10:00:00,Comunidad Valenciana
Valladolid,Broken clouds,9,86,14.8,1016,21.0,5.0,21.0,17.5,34.0,Unknown,Unknown,No,2022-11-24 10:00:00,Castilla y León
Zamora,Broken clouds,10,92,19.5,1015,37.0,9.0,15.0,Unknown,Unknown,1.0,Unknown,No,2022-11-24 10:00:00,Castilla y León
Zaragoza,Clear sky,9,87,13.0,1019,68.0,20.0,27.7,2.5,29.3,5.8,305.0,No,2022-11-24 10:00:00,Aragón
Ceuta,Broken clouds,16,82,14.4,1021,17.0,4.0,4.6,Unknown,41.9,5.1,0.1,No,2022-11-24 10:00:00,Ceuta
